,url
0,https://5.182.86.32/auth/login
1,https://79.137.194.188/auth/login
2,https://achillharpfestival.ie/wp-content/plugins/dbzytgojke/mail.php
3,https://achillharpfestival.ie/wp-content/plugins/dbzytgojke/alex.php
4,http://unwaveringmedia.com/wp-content/plugins/vsqjspmplq/remain.php
5,https://www.swingerxxx.com/images/MD.php
6,https://bartonmcgill.co.nz/.well-known/sand.php
7,https://www.westtrek.com/wp-admin/alexus1kc.php
8,https://depressionk1d.ug/k8FppT/login.php
9,https://foxydownloader.com/hBF6ds2D/login.php
10,https://arku.xyz/w2/PvqDq929BSx_A_D_M1n_a.php
11,https://mohantoursandtravels.com/wp-includes/random_compat/index.php
12,https://fintellectualadvisors.com/wp-includes/class-wp-document-query.php
13,https://alchemistcrm.com/wp-content/themes/twentynineteen/class.api.php
14,https://rdsforum.ro/xleet.php
15,https://www.autoskolazmolik.cz/css/rkbgphssgx.php
16,http://tiqnea.com/new/wp-content/plugins/pvlkpvbvzo/le.php
17,https://afreebieempire.com/leaf.php
18,https://ver.sx/boss/xleetmailer-new.php
19,https://serverddfd.7m.pl/webadmin/cp.php?m=login
20,https://web.xmlpost.xyz/sj2vMs/login.php
21,https://nicoleling.com/wp-admin/alexus1kc.php
22,https://legismente.pt/wp-includes/IXR/emoji.php
23,https://nomadicdamon.com/wp-admin/alexus1kc.php
24,http://telento.xyz/login.php
25,https://evakark.xyz/login.php
26,https://x-vpn.ug/hfV3vDtt/login.php
27,https://www.tepevizyon.com.tr/xx/Panel/PvqDq929BSx_A_D_M1n_a.php
28,http://vihaiha.com/.ill/news/school/boy/choo/PvqDq929BSx_A_D_M1n_a.php
29,https://194.58.103.2/main/login.php
30,https://mxrz.xyz/tker3/w2/PvqDq929BSx_A_D_M1n_a.php
31,https://es02.xyz/w2/PvqDq929BSx_A_D_M1n_a.php
32,http://asilcosmetics.ru/modules/mod_articles/mod_articles.php
33,http://www.tsgprivatskver.ru/lndex.php
34,https://iryston.com/lndex.php
35,https://iwebtechexpert.com/blog/wp-admin/js/9givn.php
36,https://esselfire.com/templets/default/css/popup.php
37,https://ctp1.xyz/w2/PvqDq929BSx_A_D_M1n_a.php
38,http://axz1.xyz/wv1/PvqDq929BSx_A_D_M1n_a.php
39,https://vihaiha.com/.ccb/news/school/boy/choo/PvqDq929BSx_A_D_M1n_a.php
40,https://goodlifestylenews.com/wp-admin/st.php
41,https://www.vasterviksstenhuggeri.se/wp-content/plugins/rqwuzl/vfetdmtvfb.php
42,https://life-art.be/wp-content/plugins/advanced-custom-fields/core/actions/wp-cfg.php
43,http://www.firepulsesports.com/wp-content/uploads/2019/10/Source.php
44,http://aswaqms.net/adminv1/images/upload/thumb/ams_team_2.php
45,https://ijtre.com/ldxdbr.php
46,https://www.vccivadodara.org/documents/cconfig.php
47,https://www.rocaprevera.cat/wp-content/upgrade/defaults.php
48,https://akmos.com.br/wp-admin/send.php
49,https://oct1.xyz/PKK/five/PvqDq929BSx_A_D_M1n_a.php
50,https://life-art.be/wp-content/plugins/advanced-custom-fields/core/actions/export.php
51,https://zi-chem.co/Panel/five/PvqDq929BSx_A_D_M1n_a.php
52,https://zi-chem.co/PL342/panel/admin.php
53,https://abujie.ro/wp-edits.php
54,https://www.tocados-mcsanz.com/newsletters.php
55,https://hotelavlokan.com/links/PL341/panel/admin.php
56,https://lifestyleafrica.org/niko.php
57,https://voltagehi.atwebpages.com/panel/admin.php
58,https://hantechitd.atwebpages.com/panel/admin.php
59,https://livdecor.pt/aristo/panel/admin.php
60,https://livdecor.pt/iyk/panel/admin.php
61,https://fullelectronica.com.ar/okoyman/PL341/panel/admin.php
62,ftp://116.202.48.5/ele/panel/admin.php
63,https://exwhbecwrsuggjavqopq.com/cp.php
64,https://nayablabs.com/five/PvqDq929BSx_A_D_M1n_a.php
65,https://23.254.215.137/TurkishBlOoDMonEYMen/PvqDq929BSx_A_D_M1n_a.php
66,https://officestore.co.id/smilrt/PL341/panel/admin.php
67,https://officestore.co.id/cjj/PL341/panel/admin.php
68,https://www.tkpl.in/shell.php
69,https://nicurb.com/blacknet/login.php
70,https://a-mla.org/images/acts/leafmailer2.8.php
71,http://199.192.16.233/1gDY9Cf1ANcW9eF0/login.php
72,https://static.187.200.63.178.clients.your-server.de/udu/panel/admin.php
73,https://static.187.200.63.178.clients.your-server.de/sti/panel/admin.php
74,https://onespirit.asia/edume/PL341/panel/admin.php
75,https://178.63.200.187/udu/panel/admin.php
76,https://178.63.200.187/sti/panel/admin.php
77,http://travel.thattravelclub.com/wp-admin/network/yofuclezap.php
78,https://westtannacrieff.com/rrbytaygby.php
79,https://4vp.xyz/index.php
80,https://dotxwbdwktpeaoniphea.com/cp.php
81,https://185.195.24.36/login
82,https://185.203.118.123/login.php
83,https://141.136.35.234/login.php
84,https://elainesnaturals.com/
85,http://195.133.48.152/
86,ftp://185.185.41.196/
87,https://afcompresors.com/class/five/PvqDq929BSx_A_D_M1n_a.php
88,https://afcompresors.com/cat/five/PvqDq929BSx_A_D_M1n_a.php
89,https://afcompresors.com/case/five/PvqDq929BSx_A_D_M1n_a.php
90,http://192.236.161.205/panel/PvqDq929BSx_A_D_M1n_a.php
91,http://142.11.195.130/panel/PvqDq929BSx_A_D_M1n_a.php
92,https://donandgino.com/broom/PL341/panel/admin.php
93,https://crevisoft.net/images/backgrounds/obb/panel/admin.php
94,https://mazenas.blogspot.com/
95,https://youtubelinkjadid.blogspot.com/
96,https://mailbombb.blogspot.com/
97,https://depressedpenguin.com/IuygdNHZT973IPcf/login.php
98,https://www.de.kon-trade.com/pro.php
99,http://gfdhhfg.zzz.com.ua/login
100,https://hotelavlokan.com/angel/PL341/panel/admin.php
101,https://logix.co.za/ol/panelnew/admin.php
102,https://185.193.127.54/dyZJPgqbby2nd5GB/login.php
103,https://54.36.117.1/panel/admin.php
104,https://165.22.84.26/ab/
105,http://45.132.19.118/
106,https://kitesgcc.com/stater/login.php
107,https://rawpanels.com/webpanel/login.php
108,http://logix.co.za/vi/panelnew/admin.php
109,https://logix.co.za/k/panelnew/admin.php
110,ftp://logix.co.za/ek/panelnew/admin.php
111,http://blueair.com.vn/scott/panelnew/admin.php
112,https://dvsolutionsar.com/panel/?/login
113,https://joyn.com.pk/panel2/Panel/five/PvqDq929BSx_A_D_M1n_a.php
114,https://joyn.com.pk/panel1/Panel/five/PvqDq929BSx_A_D_M1n_a.php
115,https://alifmedical.shop/z/Panel/PvqDq929BSx_A_D_M1n_a.php
116,https://alifmedical.shop/vbnm/Panel/PvqDq929BSx_A_D_M1n_a.php
117,https://donandgino.com/extra1/32/panel/admin.php
118,https://pkez.xyz/Dby/five/PvqDq929BSx_A_D_M1n_a.php
119,https://kovachevpress.com/ads/Panel/PvqDq929BSx_A_D_M1n_a.php
120,https://195.2.74.193/
121,http://pkhz.xyz/PKZ/five/PvqDq929BSx_A_D_M1n_a.php
122,http://www.paixaocameras.com.br/modules/autoupgrade/vendor/phpunit/phpunit/src/Util/PHP/alexus1kc.php
123,https://wunderwelt.com.br/mail-conf.php
124,https://kesarpapers.com/pv/
125,https://eneltec-led.de/news/led-beleuchtung-unternehmen-ben%C3%B6tigen-um-ein-gutes-markenimage-zu-etablieren.html
126,https://pomogy.ru.com/
127,https://jperezprieto-prg.com/j/wp-includes/js/js/Panel/login.php
128,https://www.doctorcarlostriana.com/sites/all/modules/contrib/jcarousel/includes/mailer_clone.php
129,https://95.215.207.101/login.php
130,https://80.87.196.41/login
131,https://tursaf.org.tr/temp/bb/panel/admin.php
132,https://fyc.co.jp/sem/274/ktadh-40661qx/
133,https://app.pushbuttonautomarketer.com/audio/val499.php
134,https://188.120.235.130/login
135,https://logix.co.za/wp-admin/xox/panelnew/admin.php
136,https://buildbd.org/slid/kccc/Panel/five/PvqDq929BSx_A_D_M1n_a.php
137,https://buildbd.org/slid/btc/Panel/five/PvqDq929BSx_A_D_M1n_a.php
138,https://buildbd.org/slid/_notes/Panel/five/PvqDq929BSx_A_D_M1n_a.php
139,https://136.144.237.217/panel/admin.php
140,https://45.145.185.26/onxs$
141,https://45.145.185.253/osees/panel/admin.php
142,https://176.113.82.180/login.php
143,http://193.42.118.11/
144,https://e-worldsolutions.com/wp-cgi/panel/?/login
145,https://venitronics.com/oo/Panel/PvqDq929BSx_A_D_M1n_a.php
146,http://185.193.126.198/k0JIpOIvz3UWZKH0/login.php
147,https://crevisoft.net/images/backgrounds/sm/panel/admin.php
148,https://crevisoft.net/images/backgrounds/og/panel/admin.php
149,https://crevisoft.net/images/backgrounds/ob/panel/admin.php
150,https://nayablabs.com/pathz/five/PvqDq929BSx_A_D_M1n_a.php
151,https://drsmarinegroup.com/lok/Panel/PvqDq929BSx_A_D_M1n_a.php
152,https://198.54.121.89/AR8C4Lq2cNBnGaWG/login.php
153,http://f0461327.xsph.ru/login
154,http://f0461314.xsph.ru/login
155,http://a0461249.xsph.ru/panel/admin.php
156,http://185.188.182.61/
157,https://lugaribeiro.com.br/luga/five/PvqDq929BSx_A_D_M1n_a.php
158,https://gatehub.tech/EbiFJvXnjupqMxcM/login.php
159,http://161.97.82.232/Panel/login.php
160,https://37.97.190.174/panel/admin.php
161,https://www.oic-iphrc.org/assets/css/vendor.php
162,https://www.lehrer.at/wordpress/art.php
163,http://f0460630.xsph.ru/login
164,https://joyn.com.pk/Panel/five/PvqDq929BSx_A_D_M1n_a.php
165,https://comercializadoranino.com/gbh/five/PvqDq929BSx_A_D_M1n_a.php
166,http://bstarking.com/dXjPRkIslRpOuC8Q/login.php
167,https://195.133.48.170/login.php
168,https://176.119.156.8/login.php
169,https://89.223.123.133/login.php
170,https://62.109.13.205/
171,https://theswisslaundry.com/wp-content/plugins/yrbm.php
172,https://trianum.co.ke/wp-includes/ID3/module/P/admin.php
173,https://trianum.co.ke/wp-includes/ID3/PG/G/admin.php
174,https://109.196.164.73/
175,https://avdimio.com/zz/Panel/PvqDq929BSx_A_D_M1n_a.php
176,https://gatehub.online/EbiFJvXnjupqMxcM/login.php
177,https://83.171.238.230/login.php
178,https://www.uphillconsulting.co.za/mailer/1.html
179,https://visionmoneymantra.com/os/panel/?/login
180,http://firepulsesports.com/wp-content/uploads/2019/10/Source.php
181,https://www.ecompass-project.eu/cronjob.php.html
182,http://f0458234.xsph.ru/login
183,https://45.143.93.152/login.php
184,https://buildbd.org/css/csss/Panel/five/PvqDq929BSx_A_D_M1n_a.php
185,https://18.159.53.170/panel/admin.php
186,https://185.51.246.3/login.php
187,https://chat.warlab.info/
188,https://a2ecommerce.com/
189,https://109.68.214.139/
190,http://89.223.121.131/
191,https://89.223.121.130/
192,https://www.eos-numerique.com/sitemap/JC4Ei2aF.php
193,https://voceconfia.com.br/utils/leafmailer.php
194,https://mailerphppro.blogspot.com/
195,https://elhusseinyusmleprep.com/wp-includes/leafmailer.php
196,https://searchtool.space/oOjgox/login.php
197,https://searchtool.space/gBvsce2/login.php
198,https://searchtool.space/9348ck9gfjekf034053jfj5deEWW4c0jfasjc9jrw94/vCsxpG/login.php
199,https://searchtool.space/9348ck9gfjekf034053jfj5deEWW4c0jfasjc9jrw94/nBbBvsq2/login.php
200,https://searchtool.space/9348ck9gfjekf034053jfj5deEWW4c0jfasjc9jrw94/iKns2W/login.php
201,https://searchtool.space/9348ck9gfjekf034053jfj5deEWW4c0jfasjc9jrw94/g81hYYq/login.php
202,https://searchtool.space/9348ck9gfjekf034053jfj5deEWW4c0jfasjc9jrw94/bHn4Df/login.php
203,https://45-76-47-204.plesk.page/
204,https://slweb.xyz/
205,https://outlook.al/
206,http://89.223.123.54/
207,https://45.76.47.204/
208,https://45.141.101.60/
209,https://kelolacode2849.duckdns.org/gma/panel/admin.php
210,https://dc-collection.com/ob/panel/admin.php
211,https://www.mianbrothers.com.pk/bn/login.php
212,https://45.76.155.198/
213,https://188.127.231.114/login.php
214,https://45.141.102.15/login.php
215,http://45.141.101.48/login.php
216,https://mianbrothers.com.pk/bn/login.php
217,https://niskioglasi.rs/test3/Panel/PvqDq929BSx_A_D_M1n_a.php
218,http://madibalohilalamb.duckdns.org/Panel/five/PvqDq929BSx_A_D_M1n_a.php
219,http://emirate-net.me/jb/five/PvqDq929BSx_A_D_M1n_a.php
220,http://emirate-net.me/ig1/five/PvqDq929BSx_A_D_M1n_a.php
221,https://centralcoalfields.in/pdfs/news/2016-2017/pro_mailer_v2.php
222,http://alconalu.com/login.php
223,ftp://82.146.49.38/
224,http://45.77.251.131/
225,https://karachiwalla.com/karachi/five/PvqDq929BSx_A_D_M1n_a.php
226,http://samp-shop.zzz.com.ua/panel/admin.php
227,http://akashi1.zzz.com.ua/login
228,http://fdg44.zzz.com.ua/panel/admin.php
229,ftp://rememberu3.zzz.com.ua/panel/admin.php
230,https://h839492.duckdns.org/us/panel/admin.php
231,http://www.francehayon.fr/photos/up4.php
232,https://www.francehayon.fr/photos/gaza.php
233,http://www.francehayon.fr/photos/wso.php
234,https://hotelavlokan.com/fungg/32/panel/admin.php
235,http://nesk.zzz.com.ua/panel/admin.php
236,http://dreamgaming.zzz.com.ua/panel/admin.php
237,https://werginz.net/lib/constants.php
238,http://cm53726.tmweb.ru/
239,https://cb32807.tmweb.ru/
240,https://109.68.213.212/
241,http://45.8.228.100/login.php
242,http://tuhjtrfu56.zzz.com.ua/login
243,https://jpegs.marengoknoll.com/mz1.php
244,https://revistaesportes.com.br/hahaha/zfile.php
245,https://revistaesportes.com.br/V5aX2B.php
246,https://www.workingnurse.com/images/articles/mailer.php
247,https://www.shopprice.com.au/Images/mailer.php
248,https://www.francehayon.fr/photos/mailer.php
249,https://www.francehayon.fr/photos/alexusMailer-v1.7.2.php
250,https://smtpforall.neocities.org/
251,https://gpaxseg.com.br/mail-conf.php
252,https://eatnear.com/mailer.php
253,http://aksc.free.fr/blog/mailler.php
254,https://proxy.bonch.dev/login.php
255,https://92.53.124.88/login.php
256,https://www.tetrachoice.com/private_admin/html2pdf/font/elord.php
257,https://185.11.167.190/~supporttelstra/login.php
258,ftp://sech.cl/wp-includes/rand/xmailer.php
259,https://giftchris.com/sssx/
260,https://surmatete.com/img/p/9/5/
261,ftp://sech.cl/wp-includes/rand/leafmailer.php
262,https://mail.hotelgrandpapua.com/leaf.php
263,https://common.slimassessments.nl/pihapi.php
264,https://www.immobiliarestella.com/Documents/3.php
265,https://tmsa-tw.org.tw/ahm.php
266,http://tributumpraha.cz/mail.php
267,https://tamliteusa.com/uploaded-assets/
268,https://stmartin-boat-charter.com/confirmation.php
269,https://postmaster.byethost16.com/mailer.php
270,https://cutprintcost.com/
271,https://cbc.cards/category/uncategorized/
272,https://nextcloud.fas.tpu.ru/
273,https://45.141.103.206/
274,https://5.45.77.61/login.php
275,https://timesync.live/panel/
276,https://libng.ru/adm/jce/assetmanager/images/nm.php
277,https://sts-ural.ru/content/mass.php
278,https://moneyworthyparts.tripod.com/1/
279,https://maksona.tripod.com/
280,https://hobidevreleri.com/images/senut.php
281,https://hostalfina.com/wp-mailer.php
282,http://ferrti.atspace.com/
283,https://libng.ru/adm/jce/assetmanager/images/SHELL.php
284,http://caperacha2.wlannet.net/V2.php
285,https://svr1.com.br/
286,http://calcutta.co.kr/data/Mailer.php
287,https://clients.zippercms.com/mailer.php
288,https://www.mkm.es/docs/noticias/MailRandNewBnp.php
289,https://stjohnslutheranjacksonville.org/mailer/mailer/uzo.php
290,http://draven.rip08.free.fr/source/mailer111.php
291,https://www.webstyle.net.au/media/inbox.php
292,http://www.ordinace-ol.cz/css/sot.php
293,http://newmaroc.free.fr/Persian%20script.php
294,https://masjids.com/mail.php
295,https://www.alucomposto.com.br/solucoes.php
296,https://79.96.162.195/signin2.php
297,https://www.stardelta.net/images/signin2.php
298,https://pauloasilva.com.br/300rr.php
299,https://www.ladytattoo.es/wp.php
300,http://www.couchrealty.com/leafmailer2.8.php
301,https://avalonfootwears.com/images/leafmailernzmall.php
302,https://176.57.208.67/
303,https://176.119.159.195/
304,http://nan.zzz.com.ua/login
305,https://cl29183.tmweb.ru/login
306,https://ratpanel.5v.pl/darknet/login.php
307,https://hotelavlokan.com/vimmmer/32/panel/admin.php
308,https://165.22.238.167/panel/admin.php
309,https://82.165.75.233/panel/admin.php
310,http://esdebian.org/wp-content/themes/twentynineteen/st.php
311,https://mygreencity.in/scripts/Panel/five/PvqDq929BSx_A_D_M1n_a.php
312,https://www.nirjhara.com/oko/32/panel/admin.php
313,https://niskioglasi.rs/test2/Panel/PvqDq929BSx_A_D_M1n_a.php
314,https://niskioglasi.rs/test1/Panel/PvqDq929BSx_A_D_M1n_a.php
315,https://beckhoff-th.com/chief/chief2/PvqDq929BSx_A_D_M1n_a.php
316,https://beckhoff-th.com/chief/chief1/PvqDq929BSx_A_D_M1n_a.php
317,https://gay-love.ru/
318,https://193.164.149.254/
319,http://x99951lw.beget.tech/login
320,https://wellnesslifezone.com/sp/webpanel/login.php
321,https://wellnesslifezone.com/make/webpanel/login.php
322,https://nirjhara.com/mine/32/panel/admin.php
323,https://165.22.238.171/panel/admin.php
324,https://109.234.35.62/
325,https://ip105.ip-54-36-185.eu/
326,https://54.36.185.105/
327,https://globalex.uz/rot/panelnew/admin.php
328,https://195.161.41.207/
329,https://185.154.53.119/
330,https://45.135.164.248/
331,http://koreanbeautyexpert.com/wp-includes/juj/PvqDq929BSx_A_D_M1n_a.php
332,https://globalex.uz/gg/Panel/PvqDq929BSx_A_D_M1n_a.php
333,http://clemglobal.com/bobby2file/five/PvqDq929BSx_A_D_M1n_a.php
334,http://45.8.230.102/login.php
335,http://koreanbeautyexpert.com/wp-includes/nopee/PvqDq929BSx_A_D_M1n_a.php
336,https://wellnesslifezone.com/kc/webpanel/login.php
337,https://wellnesslifezone.com/capi/webpanel/login.php
338,http://koreanbeautyexpert.com/finn/PvqDq929BSx_A_D_M1n_a.php
339,https://kovachevpress.com/docsx/five/PvqDq929BSx_A_D_M1n_a.php
340,https://beesco.net/osama/osama2/PvqDq929BSx_A_D_M1n_a.php
341,https://161.35.11.204/login.php
342,http://www.bgost.ch/design/start/de_header_06.jpg.php
343,http://www.aswaqms.net/adminv1/images/upload/thumb/ams_team_2.php
344,http://airmanselectiontest.com/oo/Panel/PvqDq929BSx_A_D_M1n_a.php
345,https://allenmonuments.com/sniper.php
346,https://frederickfilms.com/ma3ler.php
347,https://purex.live/login.php
348,https://213.108.4.38/login.php
349,https://213.108.4.29/login.php
350,https://195.133.197.142/login.php
351,http://194.87.92.87/login.php
352,https://194.87.94.226/login.php
353,https://zarnaftdiar.ir/wp-includes/Requests/binj/PvqDq929BSx_A_D_M1n_a.php
354,ftp://tech-vopsire.ro/u/five/PvqDq929BSx_A_D_M1n_a.php
355,https://siiigroup.com/gst/five/PvqDq929BSx_A_D_M1n_a.php
356,http://koreanbeautyexpert.com/wp-includes/guj/PvqDq929BSx_A_D_M1n_a.php
357,http://koreanbeautyexpert.com/guii/PvqDq929BSx_A_D_M1n_a.php
358,https://beckhoff-th.com/kon/kon2/PvqDq929BSx_A_D_M1n_a.php
359,https://beckhoff-th.com/kon/kon1/PvqDq929BSx_A_D_M1n_a.php
360,http://192.236.146.147/HusHPuppY=EmmYBlooDMoNeY/PvqDq929BSx_A_D_M1n_a.php
361,http://kkkk.zzz.com.ua/login
362,http://alvaroshack.zzz.com.ua/dashboard/admin.php
363,https://stell.domainmedicalhha.com/bF2dmb4d/login.php
364,https://moo.midori-lashes.com/bF2dmb4d/login.php
365,https://bee.midorilashes.net/bF2dmb4d/login.php
366,http://valentinogods.zzz.com.ua/login
367,ftp://tech-vopsire.ro/tech/five/PvqDq929BSx_A_D_M1n_a.php
368,http://airmanselectiontest.com/dest/Panel/PvqDq929BSx_A_D_M1n_a.php
369,http://airmanselectiontest.com/data/Panel/PvqDq929BSx_A_D_M1n_a.php
370,https://solarparkcleaning.co.uk/js/webpanel/Panel/login.php
371,https://37.46.129.18/BCCBVPu8yEHdyZb9/login.php
372,http://144.217.255.52/login.php
373,https://188.120.233.19/bF2dmb4d/login.php
374,https://64.225.22.106/
375,https://www.weddingsbymoltensky.com/wp-content/plugins/atzcj.php
376,https://www.nisargpharma.com/
