,indicator_type,data,note
0,description,,From the story https://news.sophos.com/en-us/2020/09/09/faking-it-the-thriving-business-of-fake-alert-web-scams/
1,domain,abdurantom.com,FakeAlert scam domain
2,domain,airwiseq.cf,FakeAlert host
3,domain,appconnect.bekapro.xyz,FakeAlert host
4,domain,apps-notification.com,FakeAlert host
5,domain,goodthings.ml,
6,domain,helpiossuprrt.info,FakeAlert tracker/C&C domain
7,domain,highsecureus.com,FakeAlert mobile scam domain
8,domain,ios-service-billing1-xps.azurewebsites.net,
9,domain,lookee.info,FakeAlert tracker/C&C domain
10,domain,m.smita.club,FakeAlert tracker/C&C domain
11,domain,peachtrackerus.com,FakeAlert tracker/C&C domain
12,domain,popads.net,FakeAlert malvertising network
13,domain,popcash.net,FakeAlert malvertising network
14,domain,promobi-shield.eu,FakeAlert tracker/C&C domain
15,domain,qwertyasia.com ,FakeAlert tracker/C&C domain
16,domain,qwertytracks.com,FakeAlert tracker/C&C domain
17,domain,qwertytrackz.com ,FakeAlert tracker/C&C domain
18,domain,satecgs.xyz,FakeAlert host
19,domain,serverconnect.boraer.xyz,FakeAlert tracker/C&C domain
20,domain,support-main.com,FakeAlert host
21,domain,support.dheje.xyz,FakeAlert host
22,domain,support.lolopod.xyz,FakeAlert host
23,domain,support.marusia.xyz,FakeAlert host
24,domain,support.paluns.xyz,FakeAlert host
25,domain,system-update-alert.com,FakeAlert host
26,domain,system-update-alert.com,FakeAlert host
27,domain,top.support-quick.com,FakeAlert host
28,domain,trackoo.info,FakeAlert tracker/C&C domain
29,domain,trafiq.party,FakeAlert tracker/C&C domain
30,domain,yourphoneboost.com,FakeAlert host
31,filename,attach_atual_88462.html,Mal/FakeAlert-B browserlock web page
32,filename,blue.php,FakeAlert tech support scam server script
33,filename,DKQdsrdTvDq7HXA%5B1%5D.html,Mal/FakeAlert-B browserlock web page
34,filename,Edx-198742%5B1%5D.htm,Mal/FakeAlert-B browserlock web page
35,filename,Edx-564124%5B1%5D.htm,Mal/FakeAlert-B browserlock web page
36,filename,Edx-746131%5B1%5D.htm,Mal/FakeAlert-B browserlock web page
37,filename,Edx-841792%5B1%5D.htm,Mal/FakeAlert-B browserlock web page
38,filename,Edx-852739%5B1%5D.htm,Mal/FakeAlert-B browserlock web page
39,filename,Edx-875928%5B1%5D.htm,Mal/FakeAlert-B browserlock web page
40,filename,Edx-918472%5B1%5D.htm,Mal/FakeAlert-B browserlock web page
41,filename,This+computer+is+BLOCKED.html,Mal/FakeAlert-B browserlock web page
42,ip,108.61.198.134,FakeAlert host
43,ip,116.202.171.47,FakeAlert host
44,ip,143.110.135.219,FakeAlert host
45,ip,167.71.56.43,FakeAlert host
46,ip,178.128.254.224,FakeAlert host
47,ip,18.130.240.77,FakeAlert host
48,ip,195.22.26.248,FakeAlert and malware host
49,ip,3.8.191.167,Mal/FakeAlert-B
50,ip,3.8.23.195,FakeAlert tech support scam host
51,ip,47.135.30.181,FakeAlert host
52,ip,78.141.234.87,FakeAlert host
53,ip,94.237.92.139,FakeAlert host
54,ip,94.237.96.181,FakeAlert host
55,md5,e3a73294721aa7e82c0e7a36b1e5da42,FakeAlert HTML page
56,md5,ef5df3c338d5d0c9e2ce712f899c52fd,FakeAlert HTML page
57,sha1,010f93d36fecaae33cc2600ba53046d30f2fcdf6,Mal/FakeAlert-B
58,sha1,07062a4dc1d928e03934faddefbb385907ee5005,Mal/FakeAlert-B
59,sha1,07290ff4c92d4a1c02b55df768855fb9a2a0f7be,Mal/FakeAlert-B
60,sha1,0900f96dcb250f001096236e54d15293eacc5652,Mal/FakeAlert-B
61,sha1,09852d146040540583ba1807b68b14db8853f4ce,Mal/FakeAlert-B
62,sha1,09b3db25987716cdd64a175f3e9b7488413e7bd7,Mal/FakeAlert-B
63,sha1,09fe2337801dbbede3fde335115ad148ef705675,Mal/FakeAlert-B
64,sha1,0a2fc327dbbf37755bdd57b5c4b4725234d0d031,Mal/FakeAlert-B
65,sha1,0b7200d3b267442555d5ae431a6f653615aab7f6,Mal/FakeAlert-B
66,sha1,0bde97977adbdd0fabc863a4b00b34eb5d706c1d,Mal/FakeAlert-B
67,sha1,0c18d1695556aa9826d5c90311e8930a62797bb4,Mal/FakeAlert-B
68,sha1,0cb76bb42663f37fc8c4b804afc611b0ccd8c58c,Mal/FakeAlert-B
